tid,text,keyphrases
926297572762890240,I keep telling people not to smoke in my house cuz I have asthma and I don't feel like dying. But they don't seem to care,house cuz i have asthma
926850115809112064,I keep sneezing ,
925982624383995905,RT @sydneypollack4: today my doctor literally told me i was going to die if i didnt get a flu shot bc i have asthma so i didnt get the fl,"flu shot,today my doctor"
927330169697730566,It's past midnight which means I'm entering week 3 of this pneumonia and my lungs are still in danger of exiting my body each time I cough.,"body each time,danger of exiting,past midnight which means i'm entering week"
927041230428520448,"RT @Scorr_pion: #PrecautionsAgainstSmog
 Smog caused asthma problem in humans so save yourself from smog",precautionsagainstsmog smog caused asthma problem in humans
925331768932257793,Tuesday's Air Quality forecast for Cincy is GOOD.  Children with asthma have no Air Quality Restrictions.,"children with asthma have no air quality restrictions,tuesday's air quality forecast for cincy"
926858872068874242,Cant sleep cause of sinus issues. Cant sleep cause of sinus issues making me cough as I fall asleep. Help me,sinus issues making
924723521963601922,"RT @stvhringtn: he protec
he attac
he has asthma attac https://t.co/LZ7XgBXJYd",attac he has asthma attac
923847833161273345,@MarkieMogul Lmfaoooooooooooooooooooooooo pass me my asthma pump and shh ,asthma pump
926942542272323585,RT @degvusser:  dont use your inhaler when you have an asthma attack  you arent focusing on the problem  of literally not ,inhaler when you have an asthma
926729281430020096,@angel_txt He's prince charming from Shrek 2 but on steroids,prince charming from shrek
927417332669988864,Eliot apparently has asthma and Ive been laughing at his asthma attacks thinking he was just coughing up a hairball and being dramatic.,"asthma attacks thinking,eliot apparently has asthma,hairball and being dramatic"
925647413410443264,fuck having asthma,
927085448433987584,@KabeloM06 Mostly the heat.. asthma attacks,asthma attacks
923820100947410945,Laughed so hard my asthma started acting up ,hard my asthma started acting
925569230199803904,Consuming fish during pregnancy reduces asthma risk in newborns - Deccan Chronicle https://t.co/T4wNSvF0X6 #health,consuming fish during pregnancy reduces asthma risk in newborns
926971153804959744,@UofOklahoma @OU_Football I'm going to need an inhaler watching these games and I don't even have asthma ,inhaler watching these games
925001793117065216,The four bugs that protect us from asthma https://t.co/8andHOZ3G6 #science via @CosmosMagazine,bugs that protect us from asthma
927234334519472128,@Moccoboy All these motherfuckers are on steroids,
926785474764722176,@cuddly_dino I just told my mum this she just replied sade gad de munda ah Im weezing ,sade gad de munda
927629065007321089,"Finally got a doc appt for Wednesday. Hopefully I can make it until then, this sinus infection is the worst ","doc appt for wednesday,sinus infection"
926258964970516480,@SlumberReads Same expect its asthma attacks. Got a huge test tomorrow and I dont think Im gonna do good.,"huge test tomorrow,same expect its asthma attacks"
926964862189735936,"@RiotAzael I Guss it sums up to that but these 3 games felt more like a game of chess on steroids then league.
Can' https://t.co/qNMXjGkYvf", game of chess on steroids then league
926393627584188416,if you suffer from asthma and need help check this out! https://t.co/XOIgxIXkkO,
927578228340023296,@4evaaq Coochie gone have pneumonia,coochie gone have pneumonia
927208294380433408,RT @VinitaMishra15: #BiggBoss11 @BeingSalmanKhan is it ok to make fun of Vikas's tennis elbow but not Hina's asthma #UnfairHost #bb11,fun of vikas's tennis elbow but not hina's asthma
926933466733826048,@TrumpSC Combust is meteor on steroids wth,combust is meteor on steroids wth
