tid,text
926297572762890240,I keep telling people not to smoke in my house cuz I have asthma and I don't feel like dying. But they don't seem to care
926850115809112064,I keep sneezing 
925982624383995905,RT @sydneypollack4: today my doctor literally told me i was going to die if i didnt get a flu shot bc i have asthma so i didnt get the fl
927330169697730566,It's past midnight which means I'm entering week 3 of this pneumonia and my lungs are still in danger of exiting my body each time I cough.
927041230428520448,"RT @Scorr_pion: #PrecautionsAgainstSmog
 Smog caused asthma problem in humans so save yourself from smog"
925331768932257793,Tuesday's Air Quality forecast for Cincy is GOOD.  Children with asthma have no Air Quality Restrictions.
926858872068874242,Cant sleep cause of sinus issues. Cant sleep cause of sinus issues making me cough as I fall asleep. Help me
924723521963601922,"RT @stvhringtn: he protec
he attac
he has asthma attac https://t.co/LZ7XgBXJYd"
923847833161273345,@MarkieMogul Lmfaoooooooooooooooooooooooo pass me my asthma pump and shh 
926942542272323585,RT @degvusser:  dont use your inhaler when you have an asthma attack  you arent focusing on the problem  of literally not 
926729281430020096,@angel_txt He's prince charming from Shrek 2 but on steroids
927417332669988864,Eliot apparently has asthma and Ive been laughing at his asthma attacks thinking he was just coughing up a hairball and being dramatic.
925647413410443264,fuck having asthma
927085448433987584,@KabeloM06 Mostly the heat.. asthma attacks
923820100947410945,Laughed so hard my asthma started acting up 
925569230199803904,Consuming fish during pregnancy reduces asthma risk in newborns - Deccan Chronicle https://t.co/T4wNSvF0X6 #health
926971153804959744,@UofOklahoma @OU_Football I'm going to need an inhaler watching these games and I don't even have asthma 
925001793117065216,The four bugs that protect us from asthma https://t.co/8andHOZ3G6 #science via @CosmosMagazine
927234334519472128,@Moccoboy All these motherfuckers are on steroids
926785474764722176,@cuddly_dino I just told my mum this she just replied sade gad de munda ah Im weezing 
927629065007321089,"Finally got a doc appt for Wednesday. Hopefully I can make it until then, this sinus infection is the worst "
926258964970516480,@SlumberReads Same expect its asthma attacks. Got a huge test tomorrow and I dont think Im gonna do good.
926964862189735936,"@RiotAzael I Guss it sums up to that but these 3 games felt more like a game of chess on steroids then league.
Can' https://t.co/qNMXjGkYvf"
926393627584188416,if you suffer from asthma and need help check this out! https://t.co/XOIgxIXkkO
927578228340023296,@4evaaq Coochie gone have pneumonia
927208294380433408,RT @VinitaMishra15: #BiggBoss11 @BeingSalmanKhan is it ok to make fun of Vikas's tennis elbow but not Hina's asthma #UnfairHost #bb11
926933466733826048,@TrumpSC Combust is meteor on steroids wth
925833340145381376,you mess with plenty nigha sorry baby i aint that fuck around and chase yo fast ass n have a asthma attack
924521821843742720,Fully convinced that my cat has asthma :/
925010136313106433,Currently getting out played by asthma irl
924446236077203456,asthma nooo
927583855783096322,Having a sinus headache for most of my day so far has not been fun! I hope everyone else has a fantastic Monday though!
927298873931988997,confections on steroids
922962434914226178,RT @MyPotnaB: And who get cold RT @Pattric: And who are ticklish RT @ToeKnee2GX: And allergies RT @SOruthless_305: Men with asthma are fagg
925904378212618242,Tis the season for my asthma to return with vengeance #Winter #IndoorDryHeat
